id,name,name_en,name_it,name_es,name_de,screen_compatible_with,compatible_with,image_url,datasheet_url
SBOX,Boîtier métal pour NVR et XVR petit,Metal Enclosure for NVR and XVR small,Contenitore metallico per NVR e XVR piccolo,Caja metálica para NVR y XVR pequeño,Metallgehäuse für NVR und XVR klein,,NIPNVR004N06PASL|NIPNVR008N06PASL|NIPNVR004A08PASL|NIPNVR008A12PASL|NIPNVR016N08PASL,https://staticpro.comelitgroup.com/storage/2022/03/30881/sbox-800x800.png,https://staticpro.comelitgroup.com/fr_FR/datasheets/20362-sbox.pdf
MBOX,Boîtier métal pour NVR et XVR medium,Metal Enclosure for NVR and XVR medium,Contenitore metallico per NVR e XVR medio,Caja metálica para NVR y XVR mediano,Metallgehäuse für NVR und XVR mittel,,NIPNVR016A12PASL|N32N12A2H0A|NIPNVR032A12NASL,https://staticpro.comelitgroup.com/storage/2022/03/30882/mbox-800x800.png,https://staticpro.comelitgroup.com/fr_FR/datasheets/20363-mbox.pdf
LBOX,Boîtier métal pour NVR et XVR large,Metal Enclosure for NVR and XVR large,Contenitore metallico per NVR e XVR grande,Caja metálica para NVR y XVR grande,Metallgehäuse für NVR und XVR groß,MMON185A,NIPNVR004N06PASL|NIPNVR008N06PASL|NIPNVR004A08PASL|NIPNVR008A12PASL|NIPNVR016A12PASL|N32N12A2H0A|NIPNVR016N08PASL|N64N16A8H0A,https://staticpro.comelitgroup.com/storage/2022/03/30883/lbox-800x800.png,https://staticpro.comelitgroup.com/fr_FR/datasheets/20364-lbox.pdf
