id,name,name_en,name_it,name_es,material,fixing,Dimension,Prive_Public,image_url,datasheet_url
43502C,Panneau de signalisation public,Public surveillance signage panel,Cartello di videosorveglianza pubblico,Panel de señalización público,Alluminium,Fixation murale,300x210,Public,https://staticpro.comelitgroup.com/storage/2018/09/15640/conversions/43502C-medium.jpg,https://staticpro.comelitgroup.com/fr-fr/datasheets/16470-43502c.pdf
43502E,Panneau de signalisation privé,Private surveillance signage panel,Cartello di videosorveglianza privato,Panel de señalización privado,Alluminium,Fixation murale,300x210,Privé,https://staticpro.comelitgroup.com/storage/2023/01/39797/conversions/43502e-medium.png,https://staticpro.comelitgroup.com/fr-fr/datasheets/24260-43502e.pdf
