id,name,brand,series,capacity_tb,interface,image_url,datasheet_url
WDSK324A,"Disque dur WD Purple 1 To","Western digital","Purple",1,"SATA",https://staticpro.comelitgroup.com/storage/2021/01/26603/wdsk324a.png,https://staticpro.comelitgroup.com/fr_FR/datasheets/15811-wdsk324a.pdf
WDSK325A,"Disque dur WD Purple 2 To","Western digital","Purple",2,"SATA",https://staticpro.comelitgroup.com/storage/2021/01/26604/wdsk325a.png,https://staticpro.comelitgroup.com/fr_FR/datasheets/15812-wdsk325a.pdf
WDSK327A,"Disque dur WD Purple 4 To","Western digital","Purple",4,"SATA",https://staticpro.comelitgroup.com/storage/2021/01/26605/wdsk327a.png,https://staticpro.comelitgroup.com/fr_FR/datasheets/15813-wdsk327a.pdf
WDSK329A,"Disque dur WD Purple 8 To","Western digital","Purple",8,"SATA",https://staticpro.comelitgroup.com/storage/2021/01/26607/wdsk329a.png,https://staticpro.comelitgroup.com/fr_FR/datasheets/15815-wdsk329a.pdf
